,comment_count,dislike_count,duration,like_count,live,title,view_count,publish_hour,publish_day,publish_month,publish_date,days_after_last_video,title_length,description_length,tag_count
970,190,13,206,477,0,"Quad Core i7 MacBook Pro: 1st Bootup, Dancing Cat & Impressions",54781,18,2,2,2011-02-23,1,63,829,21
968,166,16,165,185,0,Quad-Core i7 MacBook Pro: Geekbench Benchmark & Speedtest (15-inch 2.2GHz),48482,21,3,2,2011-02-24,1,74,716,24
967,557,43,204,1063,0,New 13-Inch Macbook Pro Unboxing & Hands On! (2011 Core i5),324678,23,3,2,2011-02-24,0,59,829,24
969,186,18,65,348,0,2011 MacBook Pro: Facetime HD Camera Video Quality Test & Demo,98312,18,3,2,2011-02-24,0,62,709,24
966,122,10,150,207,0,"Benchmarked: 13"" MacBook Pro Geekbench & Speedtest (Early 2011)",74096,0,4,2,2011-02-25,1,63,835,23
965,441,101,143,405,0,Gaming on 2011 13-Inch MacBook Pro (2.3GHz Core i5),358053,3,4,2,2011-02-25,0,51,746,26
964,514,36,243,458,0,Call of Duty 4: 13 Inch MacBook Pro Gaming (Early 2011),249313,3,4,2,2011-02-25,0,55,688,28
963,227,58,66,283,0,MacBook Wars 2011: 13-Inch MacBook Pro vs 15-inch Quad-Core Bootup,267710,21,4,2,2011-02-25,0,66,860,26
962,186,8,208,201,0,Gaming on 15-Inch Quad-Core MacBook Pro: Left 4 Dead 2 (Early 2011),60686,22,4,2,2011-02-25,0,67,837,28
961,128,29,232,187,0,MacBook Wars 2011: 13-Inch Core i5 vs 15-Inch Quad-Core Cinebench Shootout,103688,0,5,2,2011-02-26,1,74,898,23
960,400,41,332,1233,0,15-Inch Quad-Core i7 MacBook Pro Unboxing & Review (February 2011),164157,2,5,2,2011-02-26,0,66,4924,32
959,160,9,170,208,0,"Unboxing: Quad-Core MacBook Pro on Steroids Upgrade! OWC 120GB SSD, 8GB RAM & WD 500GB Black HD",38347,20,6,2,2011-02-27,1,95,891,25
958,190,119,120,355,0,New iPad 2: First Look,91098,22,6,2,2011-02-27,0,22,4828,53
957,72,45,85,176,0,Apogee JAM First Look: Connect Your Guitar to iPad 2 & Mac!,126921,21,1,3,2011-03-01,2,59,1409,27
956,215,36,73,235,0,iPad 2 Smart Cover: Worth it?,65400,1,2,3,2011-03-02,1,29,588,25
955,41,2,68,114,0,Unboxing: Klipsch Image S4i-WH In-Ear Headphones w/Apple Control (White),9635,19,2,3,2011-03-02,0,72,514,20
