,comment_count,dislike_count,duration,like_count,view_count,days_after_last_video,title_length,description_length,tag_count,weekend,season_0,season_1,season_3,day_part_0,day_part_1,day_part_3,season_0,season_1,season_3,day_part_0,day_part_1,day_part_3,review,apple,google,samsung,tesla
165,23,8,147,82,4811,0,37,459,25,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
166,24,27,211,106,15836,1,23,739,29,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
167,224,220,220,982,375216,2,40,1185,28,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
168,12,7,264,64,5403,0,38,904,24,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
169,20,19,154,94,18548,1,30,313,28,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
170,22,14,206,55,8736,1,30,552,18,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
171,16,5,165,67,3004,2,40,592,29,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
172,14,4,247,31,1886,1,44,1051,30,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
173,23,15,206,43,7251,1,47,616,31,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
174,23,14,243,102,4883,1,49,516,22,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
175,12,7,304,72,6824,2,49,805,26,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
176,19,4,192,70,3542,1,43,310,20,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
177,20,8,165,69,2290,1,38,510,21,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
178,8,6,233,55,1733,1,43,370,19,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
179,12,6,289,56,3007,1,20,803,20,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
180,13,6,317,57,4542,2,48,795,26,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
181,15,2,180,69,3856,2,42,628,23,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
182,17,8,255,61,2236,1,44,639,19,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
183,17,3,199,70,6869,1,34,711,23,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
184,47,34,281,149,65914,2,45,552,32,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
185,12,5,396,77,3986,2,32,1131,17,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
186,14,3,424,110,2700,0,34,332,20,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
187,16,7,219,69,2163,4,39,727,24,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
188,38,5,276,106,14747,2,42,377,25,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
189,259,139,215,594,120801,1,37,343,22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,216,21,311,870,41968,2,16,530,12,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
191,32,12,257,114,10098,2,31,1041,19,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
192,17,5,325,69,1996,1,42,880,19,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
193,27,14,312,125,11530,1,48,571,21,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
194,220,39,282,423,26645,2,44,527,29,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
195,30,5,328,94,3091,1,25,636,24,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
196,14,3,337,59,2348,1,45,829,20,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
197,30,4,242,83,3750,1,20,726,13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
198,146,12,195,155,7017,1,24,254,36,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
199,10,4,291,77,2262,1,40,724,20,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
200,19,9,379,107,26146,2,47,441,18,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
201,28,6,284,102,7648,0,37,691,20,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
202,18,1,268,72,4753,3,38,753,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
203,201,42,241,501,36510,1,27,330,24,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
204,43,11,285,153,7060,2,26,407,33,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
205,110,12,213,621,29139,2,16,72,20,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
206,18,5,12,116,5338,1,17,315,11,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
207,20,11,131,102,1954,1,28,300,24,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
208,48,20,169,382,13490,1,37,630,28,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
209,14,10,258,134,14771,1,31,329,25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
210,17,5,335,85,6477,1,36,820,36,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
211,75,20,177,151,22520,2,35,57,14,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
212,40,22,197,145,30525,0,33,381,30,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
213,55,14,173,180,6910,2,35,239,28,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
214,41,14,203,185,9143,1,22,118,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
215,9,3,188,74,4619,1,39,350,35,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
216,27,10,273,127,11308,2,50,373,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
217,16,5,183,71,5009,2,30,244,23,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
218,17,3,287,84,2422,2,32,146,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
219,22,4,228,154,7309,2,49,1111,21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
220,27,4,220,78,5356,2,35,203,28,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
221,36,6,263,160,6927,2,28,553,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,85,27,247,324,43323,2,25,422,16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
223,31,4,274,64,17265,1,41,394,28,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
224,64,32,254,304,13033,3,16,97,15,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
225,80,10,316,116,14891,3,46,389,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,83,11,116,267,17331,4,52,186,16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
227,12,5,266,74,3181,1,23,97,9,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
228,45,5,380,100,15863,3,38,110,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
229,14,2,222,79,7247,0,28,303,21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
230,24,7,179,70,3666,4,41,37,19,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
231,101,8,270,569,34874,2,16,139,16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
232,24,6,25,82,5109,4,20,53,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
